Symbol              |Parent              |Sibling             
Program             |-                   |-                   
type                |Program             |main                
main                |Program             |(                   
(                   |Program             |)                   
)                   |Program             |statements_block    
statements_block    |Program             |.                   
.                   |Program             |-                   
type1               |type                |array               
array               |type                |-                   
int                 |type1               |-                   
ε                  |array               |-                   
{                   |statements_block    |stmt_list           
stmt_list           |statements_block    |}                   
}                   |statements_block    |-                   
stmt                |stmt_list           |stmt_list           
stmt_list           |stmt_list           |-                   
declaration_stmt    |stmt                |-                   
type                |declaration_stmt    |identifier          
identifier          |declaration_stmt    |declaration_helper  
declaration_helper  |declaration_stmt    |-                   
type1               |type                |array               
array               |type                |-                   
int                 |type1               |-                   
ε                  |array               |-                   
letter              |identifier          |symbols             
symbols             |identifier          |-                   
a                   |letter              |-                   
ε                  |symbols             |-                   
.                   |declaration_helper  |-                   
stmt                |stmt_list           |stmt_list           
stmt_list           |stmt_list           |-                   
declaration_stmt    |stmt                |-                   
type                |declaration_stmt    |identifier          
identifier          |declaration_stmt    |declaration_helper  
declaration_helper  |declaration_stmt    |-                   
type1               |type                |array               
array               |type                |-                   
int                 |type1               |-                   
ε                  |array               |-                   
letter              |identifier          |symbols             
symbols             |identifier          |-                   
b                   |letter              |-                   
ε                  |symbols             |-                   
.                   |declaration_helper  |-                   
stmt                |stmt_list           |stmt_list           
stmt_list           |stmt_list           |-                   
declaration_stmt    |stmt                |-                   
type                |declaration_stmt    |identifier          
identifier          |declaration_stmt    |declaration_helper  
declaration_helper  |declaration_stmt    |-                   
type1               |type                |array               
array               |type                |-                   
int                 |type1               |-                   
ε                  |array               |-                   
letter              |identifier          |symbols             
symbols             |identifier          |-                   
c                   |letter              |-                   
ε                  |symbols             |-                   
.                   |declaration_helper  |-                   
stmt                |stmt_list           |stmt_list           
stmt_list           |stmt_list           |-                   
identifier          |stmt                |=                   
=                   |stmt                |assign_io_helper    
assign_io_helper    |stmt                |-                   
letter              |identifier          |symbols             
symbols             |identifier          |-                   
a                   |letter              |-                   
ε                  |symbols             |-                   
readLine            |assign_io_helper    |(                   
(                   |assign_io_helper    |)                   
)                   |assign_io_helper    |.                   
.                   |assign_io_helper    |-                   
stmt                |stmt_list           |stmt_list           
stmt_list           |stmt_list           |-                   
identifier          |stmt                |=                   
=                   |stmt                |assign_io_helper    
assign_io_helper    |stmt                |-                   
letter              |identifier          |symbols             
symbols             |identifier          |-                   
b                   |letter              |-                   
ε                  |symbols             |-                   
readLine            |assign_io_helper    |(                   
(                   |assign_io_helper    |)                   
)                   |assign_io_helper    |.                   
.                   |assign_io_helper    |-                   
stmt                |stmt_list           |stmt_list           
stmt_list           |stmt_list           |-                   
identifier          |stmt                |=                   
=                   |stmt                |assign_io_helper    
assign_io_helper    |stmt                |-                   
letter              |identifier          |symbols             
symbols             |identifier          |-                   
c                   |letter              |-                   
ε                  |symbols             |-                   
readLine            |assign_io_helper    |(                   
(                   |assign_io_helper    |)                   
)                   |assign_io_helper    |.                   
.                   |assign_io_helper    |-                   
stmt                |stmt_list           |stmt_list           
stmt_list           |stmt_list           |-                   
if_stmt             |stmt                |-                   
if                  |if_stmt             |condition           
condition           |if_stmt             |statements_block    
statements_block    |if_stmt             |elseBlock           
elseBlock           |if_stmt             |-                   
(                   |condition           |boolean_expression  
boolean_expression  |condition           |condition_helper    
condition_helper    |condition           |)                   
)                   |condition           |-                   
factor              |boolean_expression  |boolean_helper      
boolean_helper      |boolean_expression  |-                   
identifier          |factor              |arrayIdentifier     
arrayIdentifier     |factor              |-                   
letter              |identifier          |symbols             
symbols             |identifier          |-                   
a                   |letter              |-                   
ε                  |symbols             |-                   
ε                  |arrayIdentifier     |-                   
comparison_operators|boolean_helper      |factor              
factor              |boolean_helper      |-                   
>=                  |comparison_operators|-                   
identifier          |factor              |arrayIdentifier     
arrayIdentifier     |factor              |-                   
letter              |identifier          |symbols             
symbols             |identifier          |-                   
b                   |letter              |-                   
ε                  |symbols             |-                   
ε                  |arrayIdentifier     |-                   
binary_logic_relation|condition_helper    |boolean_expression  
boolean_expression  |condition_helper    |-                   
&&                  |binary_logic_relation|-                   
factor              |boolean_expression  |boolean_helper      
boolean_helper      |boolean_expression  |-                   
identifier          |factor              |arrayIdentifier     
arrayIdentifier     |factor              |-                   
letter              |identifier          |symbols             
symbols             |identifier          |-                   
a                   |letter              |-                   
ε                  |symbols             |-                   
ε                  |arrayIdentifier     |-                   
comparison_operators|boolean_helper      |factor              
factor              |boolean_helper      |-                   
>                   |comparison_operators|-                   
identifier          |factor              |arrayIdentifier     
arrayIdentifier     |factor              |-                   
letter              |identifier          |symbols             
symbols             |identifier          |-                   
c                   |letter              |-                   
ε                  |symbols             |-                   
ε                  |arrayIdentifier     |-                   
{                   |statements_block    |stmt_list           
stmt_list           |statements_block    |}                   
}                   |statements_block    |-                   
stmt                |stmt_list           |stmt_list           
stmt_list           |stmt_list           |-                   
writeLine           |stmt                |expression_block    
expression_block    |stmt                |.                   
.                   |stmt                |-                   
(                   |expression_block    |expression          
expression          |expression_block    |)                   
)                   |expression_block    |-                   
non_num_factor      |expression          |bool_bit_helper     
bool_bit_helper     |expression          |-                   
text                |non_num_factor      |-                   
string              |text                |-                   
"                   |string              |lettersWithSpace    
lettersWithSpace    |string              |"                   
"                   |string              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
i                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
s                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
                    |letterWithSpace     |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
t                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
h                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
e                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
                    |letterWithSpace     |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
b                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
i                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
g                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
g                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
e                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
s                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
t                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
                    |letterWithSpace     |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
n                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
u                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
m                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
b                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
e                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
r                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
                    |letterWithSpace     |-                   
ε                  |lettersWithSpace    |-                   
ε                  |bool_bit_helper     |-                   
ε                  |stmt_list           |-                   
.                   |elseBlock           |-                   
stmt                |stmt_list           |stmt_list           
stmt_list           |stmt_list           |-                   
if_stmt             |stmt                |-                   
if                  |if_stmt             |condition           
condition           |if_stmt             |statements_block    
statements_block    |if_stmt             |elseBlock           
elseBlock           |if_stmt             |-                   
(                   |condition           |boolean_expression  
boolean_expression  |condition           |condition_helper    
condition_helper    |condition           |)                   
)                   |condition           |-                   
factor              |boolean_expression  |boolean_helper      
boolean_helper      |boolean_expression  |-                   
identifier          |factor              |arrayIdentifier     
arrayIdentifier     |factor              |-                   
letter              |identifier          |symbols             
symbols             |identifier          |-                   
b                   |letter              |-                   
ε                  |symbols             |-                   
ε                  |arrayIdentifier     |-                   
comparison_operators|boolean_helper      |factor              
factor              |boolean_helper      |-                   
>=                  |comparison_operators|-                   
identifier          |factor              |arrayIdentifier     
arrayIdentifier     |factor              |-                   
letter              |identifier          |symbols             
symbols             |identifier          |-                   
a                   |letter              |-                   
ε                  |symbols             |-                   
ε                  |arrayIdentifier     |-                   
binary_logic_relation|condition_helper    |boolean_expression  
boolean_expression  |condition_helper    |-                   
&&                  |binary_logic_relation|-                   
factor              |boolean_expression  |boolean_helper      
boolean_helper      |boolean_expression  |-                   
identifier          |factor              |arrayIdentifier     
arrayIdentifier     |factor              |-                   
letter              |identifier          |symbols             
symbols             |identifier          |-                   
b                   |letter              |-                   
ε                  |symbols             |-                   
ε                  |arrayIdentifier     |-                   
comparison_operators|boolean_helper      |factor              
factor              |boolean_helper      |-                   
<=                  |comparison_operators|-                   
identifier          |factor              |arrayIdentifier     
arrayIdentifier     |factor              |-                   
letter              |identifier          |symbols             
symbols             |identifier          |-                   
c                   |letter              |-                   
ε                  |symbols             |-                   
ε                  |arrayIdentifier     |-                   
{                   |statements_block    |stmt_list           
stmt_list           |statements_block    |}                   
}                   |statements_block    |-                   
stmt                |stmt_list           |stmt_list           
stmt_list           |stmt_list           |-                   
writeLine           |stmt                |expression_block    
expression_block    |stmt                |.                   
.                   |stmt                |-                   
(                   |expression_block    |expression          
expression          |expression_block    |)                   
)                   |expression_block    |-                   
non_num_factor      |expression          |bool_bit_helper     
bool_bit_helper     |expression          |-                   
text                |non_num_factor      |-                   
string              |text                |-                   
"                   |string              |lettersWithSpace    
lettersWithSpace    |string              |"                   
"                   |string              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
i                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
letter              |letterWithSpace     |-                   
s                   |letter              |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
                    |letterWithSpace     |-                   
letterWithSpace     |lettersWithSpace    |lettersWithSpace    
lettersWithSpace    |lettersWithSpace    |-                   
